studentid,firstname,lastname,GPA,Major
12560,Cissiee,Rolf,3,Health
12561,Kellen,Saunderson,3.125,Computer science
12562,Florie,Hilbert,2.75,Psychology
12563,Dorice,Isidore,3.125,Engineering
12564,Natka,Fennessy,2.75,Engineering
12565,Jacquetta,Xerxes,2.875,History
12566,Alyssa,Roxanna,2.75,Computer science
12567,Kathy,Cimbura,2.625,Engineering
12568,Aurore,Shirberg,3.125,Graphic Design
12569,Nyssa,Lunsford,2.25,History
12570,Vonny,Estella,3.25,English
12571,Justinn,Richers,2.875,Architecture
12572,Ginnie,Lucienne,2.875,Sports
12573,Nariko,Winthorpe,2.75,Music
12574,Dione,Merna,3,Health
12575,Atlanta,Avi,2.625,IT
12576,Lyssa,McLaughlin,2.875,History
12577,Jorry,Carri,2.25,Health
12578,Kimmy,Camden,2.375,Statistics
12579,Winny,Shields,2.625,Graphic Design
12580,Orsola,Ciapas,3.375,Architecture
12581,Goldie,Eckblad,3,Statistics
12582,Siana,Rese,3.625,History
12583,Ada,Sikorski,3,Psychology
12584,Allyce,Cosenza,2.75,IT
12585,Kalina,Natica,3,Graphic Design
12586,Paulita,Pulsifer,3,IT
12587,Noelle,Edmund,2.5,Computer science
12588,Sam,Bobbee,2.75,Sports
12589,Jessamyn,Cleavland,2.625,Psychology
12590,Jere,Mullane,2.375,Engineering
12591,Sybille,Cordi,2.875,Health
12592,Atlanta,Therine,2.25,Engineering
12593,Lelah,Fredi,2.875,Sports
12594,Andeee,Cosenza,2.75,Computer science
12595,Jenilee,Ventre,2.625,Business/Commerce
12596,Trixi,Curren,2.875,Graphic Design
12597,Addia,Duwalt,2.625,Robotics
12598,Lacie,Markman,2.125,Robotics
12599,Nelle,McClimans,2.875,Computer science
12600,Quintina,Bryna,3,Statistics
12601,Joceline,Schonfeld,2.625,Computer science
12602,Sissy,Bryna,3.375,History
12603,Bernardine,Rocray,3.25,History
12604,Emylee,Kannry,2.875,Statistics
12605,Etta,Kirstin,2.375,Music
12606,Gabi,Mintz,2,Engineering
12607,Ottilie,Fabiola,3.375,English
12608,Ardeen,Yusuk,2.875,English
12609,Sissy,Tippets,3,Art
12610,Basia,Rillings,3,Robotics
12611,Mildrid,Randene,2.75,History
12612,Angelique,Kirbee,2.5,Computer science
12613,Joleen,Fax,2.25,History
12614,Viviene,Gunn,1.75,Health
12615,Charissa,Shuler,2.75,Business/Commerce
12616,Willetta,Jary,2.75,Engineering
12617,Jackie,Jillane,2.5,Psychology
12618,Philis,Schonfeld,2.25,Psychology
12619,Basia,Hedve,2.5,Art
12620,Sandie,Calhoun,3.25,Health
12621,Therine,Rhu,3.125,Sports
12622,Fayre,Jagir,3.125,Psychology
12623,Phylis,Anderea,2.5,Sports
12624,Hayley,Maisey,2.375,Health
12625,Blake,Izaak,2.375,Graphic Design
12626,Sabina,Behre,3,Robotics
12627,Althea,Rhu,3.125,Health
12628,Giustina,Loring,2.75,Architecture
12629,Ardys,Laverne,2.375,History
12630,Ira,Tybald,2.5,Architecture
12631,Morganica,Joni,3.25,Robotics
12632,Phedra,Hilbert,2.5,Health
12633,Merrie,Cristi,2.125,IT
12634,Rebeca,Marden,2.875,Art
12635,Ingrid,Septima,2.875,Science
12636,Chere,Aprile,2.875,Architecture
12637,Blinni,Tamsky,2.625,Statistics
12638,Nessie,Papageno,2.875,Music
12639,Rozele,Ranjiv,3.125,Art
12640,Zondra,Haldas,3.25,English
12641,Leanna,Pitt,3.25,English
12642,Andeee,Zeeba,3.125,Psychology
12643,Rosabelle,Forrer,3.125,Health
12644,Nadine,Cosenza,2.375,Music
12645,Rori,Bluh,2.875,English
12646,Violet,Guildroy,3.375,History
12647,Betta,Allina,2.75,Statistics
12648,Orelia,Matthew,2.625,Statistics
12649,Marsiella,Francene,2.75,Robotics
12650,Ginnie,Glovsky,2.75,Statistics
12651,Lexine,Bryna,2.625,English
12652,Caryl,Schlosser,2.25,Health
12653,Verla,Ivens,2.875,IT
12654,Christy,Croix,2.375,IT
12655,Lucille,Wenoa,2.75,Health
12656,Paulita,Sherfield,3.375,Graphic Design
12657,Jaclyn,Georgy,2.75,Sports
12658,Zaria,Mozelle,2.25,IT
12659,Nelle,Liva,2.75,Business/Commerce
12660,Perry,Thunell,2.875,IT
12661,Maye,Colbert,2.25,Psychology
12662,Lanae,Kat,2.625,English
12663,Lory,Wilona,3.125,History
12664,Binny,Zaslow,2.5,Robotics
12665,Dotty,Pernick,2.75,Computer science
12666,Eve,Shelba,3.125,Art
12667,Blinni,Gower,2.5,Health
12668,Libbie,Franza,2.125,Graphic Design
12669,Caressa,Deegan,2.75,Computer science
12670,Lita,Bevin,2.75,English
12671,Olwen,Peonir,2.625,Statistics
12672,Madeleine,Toni,2.5,IT
12673,Alia,An,2.5,Robotics
12674,Malina,Tybald,2.625,IT
12675,Dianemarie,Mauer,2.625,Robotics
12676,Krystle,Wind,2.75,Engineering
12677,Livvyy,Gregrory,3,Robotics
12678,Helsa,Wittie,3.375,Computer science
12679,Ursulina,Nikaniki,2.625,Engineering
12680,Ulrike,Lewes,3.5,Graphic Design
12681,Tera,Nicoline,2.625,Engineering
12682,Almeta,Dulciana,2.375,Computer science
12683,Antonietta,Sibyls,2.625,Statistics
12684,Gertrud,Thad,2.75,English
12685,Tarra,Raychel,3,Engineering
12686,Rozele,Gower,3.375,IT
12687,Emelina,Giule,2.875,English
12688,Brena,Wittie,2.875,Art
12689,Camile,Cullin,3,Psychology
12690,Halette,Elephus,3.125,Engineering
12691,Carmencita,Myrilla,3,Art
12692,Carree,Kunin,2.875,Graphic Design
12693,Hallie,Merell,2.75,Engineering
12694,Nanete,Mott,2.75,Art
12695,Deane,Goldina,2.875,Art
12696,Andree,Georgy,3.25,Music
12697,Petronia,Koziara,2.25,English
12698,Maurene,Palocz,3.375,Art
12699,Hyacinthe,Crudden,2.5,History
12700,Cathie,Junie,2.375,Science
12701,Alex,Egbert,3,Graphic Design
12702,Jan,Grobe,2.75,English
12703,Lolita,Juan,2.75,Engineering
12704,Tera,Bury,2.375,Robotics
12705,Carly,Bahr,2.75,History
12706,Maridel,Brady,2.75,Engineering
12707,Alia,Charmine,2.75,Architecture
12708,Marsiella,Papageno,2.375,History
12709,Dorene,Natica,2,Science
12710,Amelia,Nester,2.75,Graphic Design
12711,Mignon,Hertzfeld,2.875,Business/Commerce
12712,Jaclyn,Bronk,3.5,Engineering
12713,Paola,Giule,2.75,Sports
12714,Kimmy,Palocz,3.5,Business/Commerce
12715,Jerry,Ephrem,3.125,Art
12716,Brandise,Kendrick,2.75,English
12717,Cathyleen,Amadas,3.75,Art
12718,Lilith,Margret,2.125,Business/Commerce
12719,Adore,Angelis,2.75,IT
12720,Gabi,Kauppi,3,Statistics
12721,Consuela,Secrest,2.75,English
12722,Silvana,Stilwell,3,Engineering
12723,Lindie,Duwalt,3,Sports
12724,Delilah,Elvyn,2.375,Health
12725,Kial,Diann,2.875,Sports
12726,Jeanna,Jacqui,3,Architecture
12727,Nannie,Zola,3.125,Science
12728,Tami,Dahlia,3.125,Art
12729,Rosaline,Pillsbury,2.375,Business/Commerce
12730,Emilia,Kiersten,2.875,Business/Commerce
12731,Dorene,Vivle,2.75,Graphic Design
12732,Anestassia,Eben,2.25,Graphic Design
12733,Clary,Jagir,3,History
12734,Tersina,Masao,2.125,Psychology
12735,Nita,Turne,2.625,History
12736,Vinita,Baudin,2.75,Engineering
12737,Winny,Sancho,2.5,Health
12738,Esmeralda,Annabella,3.125,History
12739,Evita,Jacqui,2.5,Sports
12740,Brianna,Kendrick,3.125,Health
12741,Celisse,Magdalen,3.375,Robotics
12742,Tabbatha,Tybald,2.875,Graphic Design
12743,Flo,Lutero,2.5,Psychology
12744,Selia,Secrest,3.25,Music
12745,Beth,Bevin,3.25,Architecture
12746,Britte,Catie,2.25,Graphic Design
12747,Veda,My,3,Statistics
12748,Belva,Mendez,3.375,Science
12749,Ethel,Karna,2.375,History
12750,Eolanda,Pascia,3.5,History
12751,Patricia,Chauncey,2.5,History
12752,Ezmeralda,Lamoree,3,History
12753,Tera,Toor,2.75,Science
12754,Arabel,Henrie,2.625,History
12755,Sue,Erminia,3,Psychology
12756,Almeta,Ortrude,2.5,Architecture
12757,Elie,Whiffen,3,Health
12758,Helsa,Tound,3.625,English
12759,Kayla,Even,2.25,Science
12760,Ronna,Bates,3.75,History
12761,Rayna,Liva,2.375,Science
12762,Desirae,Genna,2.75,English
12763,Lorenza,Leifeste,2.75,Robotics
12764,Gisela,Sibyls,3.25,Sports
12765,Molli,Borrell,3,Graphic Design
12766,Estell,Kronfeld,3.25,Graphic Design
12767,Anica,Sidonius,2.625,Science
12768,Aeriela,Dearborn,2.75,Art
12769,Raina,Clywd,2.75,Computer science
12770,Pearline,Mayeda,2.5,Computer science
12771,Imojean,Cyrie,2.125,Sports
12772,Nicoli,Brady,2.5,Business/Commerce
12773,Eugine,Bluh,3.5,Art
12774,Ernesta,Letsou,2.375,English
12775,Edyth,Toffic,2.625,Business/Commerce
12776,Felice,Ummersen,2.875,IT
12777,Elie,Chaing,3,Graphic Design
12778,Demetris,Artie,2.625,Art
12779,Margette,Raul,3,Robotics
12780,Reeba,Joli,2.625,History
12781,Mady,Hachmin,3,Computer science
12782,Arlina,Kesley,2.75,Engineering
12783,Vita,Billye,2.375,Robotics
12784,Kristan,Harned,3.25,Health
12785,Arlena,Fennessy,2.375,Graphic Design
12786,Shel,Celestine,3.375,Music
12787,Josephine,Loring,2.5,Psychology
12788,Jeanna,Solitta,2.625,English
12789,Gianina,Granoff,2.375,Health
12790,Aaren,Jerald,3.125,Graphic Design
12791,Johna,Thomasina,3.125,Health
12792,Farrah,Rese,2.75,English
12793,Esmeralda,Nea,2.875,IT
12794,Neila,Elephus,2.25,Art
12795,Allyce,Stephie,3,Architecture
12796,Helena,Reidar,2.875,Engineering
12797,Malina,Damarra,3,Graphic Design
12798,Antonietta,Bultman,2,Engineering
12799,Lucille,Graig,2.5,Music
12800,Kimberley,Breed,2.75,History
12801,Atlanta,Lowry,3.375,Psychology
12802,Tina,Rocray,2.5,Health
12803,Jessamyn,Chinua,3.375,Statistics
12804,Kassey,Gwenore,2.75,Psychology
12805,Mildrid,Kevon,2.75,Robotics
12806,Lily,Sinegold,2.875,History
12807,Aurelie,Berriman,2.75,Statistics
12808,Sharai,Hartnett,2.5,Engineering
12809,Brena,Jacqui,2.5,Computer science
12810,Rosanne,Grobe,2.875,Psychology
12811,Emelina,Margarete,2.75,Statistics
12812,Liana,Even,3.125,Statistics
12813,Shandie,Baylor,3.625,Art
12814,Carlie,Callista,2.875,Health
12815,Eolanda,Stav,3,English
12816,Morganica,Jena,3.125,Science
12817,Alyda,Swanhildas,2,Psychology
12818,Althea,Charity,2.375,IT
12819,Flory,Schenck,2.5,Statistics
12820,Amelia,Hourigan,2.875,Graphic Design
12821,Caryl,Mayeda,2.875,Computer science
12822,Blinni,Constancy,2.125,IT
12823,Dorthy,Margarete,3.125,Art
12824,Layla,Berl,2.875,Computer science
12825,Marylou,Pillsbury,3.375,Business/Commerce
12826,Lory,Eliathas,3,Architecture
12827,Layla,Janene,3.125,Psychology
12828,Ileana,Si,2.75,History
12829,Trixi,Harl,2.375,Engineering
12830,Bill,Stephie,3.375,Engineering
12831,Rori,Cecile,2.75,English
12832,Ardeen,Braun,2.875,Graphic Design
12833,Trixi,Ursulette,3.125,Science
12834,Lilith,Afton,2.5,Science
12835,Hermione,Audly,3.25,Statistics
12836,Kylynn,Cynar,1.875,English
12837,Grier,Rudolph,2.5,Music
12838,Calla,Saint,2.75,Psychology
12839,Jennica,Shirberg,2.75,Engineering
12840,Petronia,Blisse,2.125,Psychology
12841,Janenna,Behre,3.125,IT
12842,Ashlee,Matthew,2.625,Science
12843,Aubrie,Atcliffe,2.875,Psychology
12844,Kimmy,Randene,3.125,Engineering
12845,Janey,Bibi,2.75,Business/Commerce
12846,Dulcinea,Schonfeld,3.25,Computer science
12847,Dyann,Thomasina,3,Sports
12848,Dacia,Ciro,3,Art
12849,Xylina,Berriman,2.625,Art
12850,Gilligan,Evvie,3,History
12851,Carolina,Means,2.125,Psychology
12852,Paule,Oriana,2.875,English
12853,Lyssa,Bakerman,3.125,Science
12854,Jacquetta,Flyn,3.125,Computer science
12855,Vita,Timon,2.875,Robotics
12856,Livvyy,Brotherson,2.375,History
12857,Evita,Manolo,3,Graphic Design
12858,Madalyn,Herrera,2.5,Graphic Design
12859,Sallie,Carolin,2.625,Health
12860,Joelly,Laverne,2.5,History
12861,Leanna,Richers,3.125,History
12862,Gisela,Dorothy,2.75,Robotics
12863,Gavrielle,Zenas,3.375,History
12864,Nananne,Erb,2.25,Psychology
12865,Justinn,Naor,3,Sports
12866,Kore,Rese,3.25,Business/Commerce
12867,Asia,Albertine,2.625,Business/Commerce
12868,Stevana,Burnside,2.5,History
12869,Brynna,Flyn,3,Psychology
12870,Lonnie,Stephie,3,Health
12871,Berget,Burkle,2.75,History
12872,Caryl,Papageno,3.375,Statistics
12873,Katuscha,Boehike,2.375,History
12874,Paule,Yuille,3.125,Statistics
12875,Tabbatha,Horan,2.875,English
12876,Ingrid,Wandie,2.625,Graphic Design
12877,Edyth,Cimbura,2.875,Robotics
12878,Sissy,An,2.875,Computer science
12879,Paulita,Colbert,2.375,Music
12880,Tani,Kronfeld,2.75,Psychology
12881,Jany,Linehan,2.75,Graphic Design
12882,Nataline,Thunell,2.875,Engineering
12883,Kara-Lynn,Aprile,3.25,Health
12884,Ardenia,Jarib,2.75,Sports
12885,Catrina,Martsen,2.875,Art
12886,Agnese,Ashok,3,History
12887,Iseabal,Lemuela,2.875,Psychology
12888,Karena,Merriott,3.5,IT
12889,Adore,Lay,2.75,Science
12890,Raf,Hanleigh,2.875,Psychology
12891,Ofilia,McAdams,3,Robotics
12892,Oralee,Cornelia,2.875,Computer science
12893,Ellette,Koehler,2.5,Art
12894,Ashlee,Honoria,2.75,Engineering
12895,Gloria,Goode,2.625,History
12896,Zondra,Wolfgram,3,Sports
12897,Netty,Montgomery,2.75,Computer science
12898,Donetta,Clarissa,2.875,Robotics
12899,Ulrike,Gavrila,2.375,Science
12900,Ashlee,Weinreb,2.875,Sports
12901,Petronia,Margarete,3,Sports
12902,Brana,Colp,3,Computer science
12903,Elfreda,Zaslow,2.625,History
12904,Ardenia,Smitt,2.75,Health
12905,Ofilia,Land,2.75,Graphic Design
12906,Karly,Tiffa,2.875,Sports
12907,Ricky,Eno,2.5,Engineering
12908,Daryl,Donell,2.75,Psychology
12909,Johna,Sophronia,3.125,Robotics
12910,Dorice,Melony,2.625,Psychology
12911,Gusty,Elisha,2.125,Engineering
12912,Mady,Seagraves,3.375,Music
12913,Corry,Lindemann,2.75,Engineering
12914,Dotty,Dunkin,2.875,Engineering
12915,Yetty,Sancho,2.875,English
12916,Jolyn,Yoko,3,Robotics
12917,Felice,Ralfston,3,Graphic Design
12918,Sallie,Greenwald,2.125,Computer science
12919,Frank,Robertson,2.875,Statistics
12920,Jeanna,Baudin,2.5,Health
12921,Caryl,Schalles,2.875,Robotics
12922,Cecile,Phaidra,2.5,Graphic Design
12923,Priscilla,Tippets,3.375,Graphic Design
12924,Dorthy,Nahum,2.75,Health
12925,Myrtice,Harl,3,Health
12926,Catharine,Hoban,3.125,IT
12927,Sindee,Junie,2.625,Science
12928,Doro,Susannah,2.5,Health
12929,Cristine,Amand,3.375,Engineering
12930,Mildrid,Skell,2.625,IT
12931,Merry,Norrie,2.5,Art
12932,Gloria,Rhu,2.375,Art
12933,Etta,Stav,2.875,Health
12934,Bill,Bonucci,2.875,Health
12935,Natka,Bouchard,2.375,Computer science
12936,Delilah,My,2.875,Health
12937,Nollie,Levey,3.375,Robotics
12938,Jaime,Nikaniki,3,Science
12939,Aaren,Jerold,2.625,English
12940,Jaclyn,Belldas,3,Robotics
12941,Ida,Papageno,2.875,IT
12942,Peri,Taam,2.5,History
12943,Jenilee,Campball,3,Health
12944,Ann-Marie,Arathorn,2.625,Computer science
12945,Alyda,Pauly,3.25,Engineering
12946,Lynnea,My,2.625,IT
12947,Eolanda,Kazimir,3.375,Psychology
12948,Stacey,Fink,2.75,History
12949,Nananne,Harday,2.875,Computer science
12950,Ursulina,Zola,3,Health
12951,Brena,Sawtelle,2.875,Computer science
12952,Alleen,Klemperer,2.625,Music
12953,Korrie,Bennie,2.125,Robotics
12954,Gilda,Jorgan,2.625,IT
12955,Dulce,Anselmi,1.625,Engineering
12956,Quintina,Ramona,2.625,Graphic Design
12957,Esmeralda,McClimans,2.875,Music
12958,Kate,Tristram,2.125,Psychology
12959,Jenilee,Kalinda,3,Health
12960,Bee,Therine,3.5,History
12961,Sabina,Wittie,2.625,Architecture
12962,Madelle,Cookie,2.375,Computer science
12963,Gloria,Ackerley,3.25,History
12964,Juliane,Tyson,2.5,History
12965,Edee,Lenny,3.25,English
12966,Adore,Schonfeld,3.125,Architecture
12967,Anica,Rese,3.5,IT
12968,Delilah,Girardo,2.375,Art
12969,Mignon,Sammons,3,Sports
12970,Ana,Bach,2.75,Engineering
12971,Zia,Ciapas,3,Science
12972,Sam,Dreda,2.75,Health
12973,Lanna,Harriman,2.75,Business/Commerce
12974,Carmencita,Vale,3,Graphic Design
12975,Agathe,Lauraine,3,Sports
12976,Cassandra,Raseda,3,History
12977,Gale,Peonir,2.75,Science
12978,Cordi,Zrike,2.625,Sports
12979,Iseabal,Dielu,2.5,Science
12980,Fawne,Weaks,2.375,Health
12981,Queenie,Ledah,2.625,Graphic Design
12982,Dianemarie,Ogren,3.125,IT
12983,Nicoli,Yam,3,Music
12984,Konstance,Dorine,3.25,English
12985,Selma,McLaughlin,2.625,History
12986,Bill,Bendick,3,Graphic Design
12987,Deane,Boycey,2.5,English
12988,Tilly,Graig,2.25,Computer science
12989,Elise,Peonir,2.875,English
12990,Valeda,Fleeta,2.375,Psychology
12991,Jackie,Quent,2.125,Art
12992,Annecorinne,Joli,2.875,Statistics
12993,Belinda,Wu,2.5,Music
12994,Minda,Hull,2,Psychology
12995,Natka,Trey,2.75,Graphic Design
12996,Robbi,Gahl,3.25,Psychology
12997,Cam,Felecia,2.25,Art
12998,Lindie,Keelia,2.5,Art
12999,Marcy,Ferrell,3.125,Engineering
13000,Shirlee,Clara,3,Psychology
13001,Madalyn,Maribeth,3.125,Robotics
13002,Myrtice,Erich,2.5,Health
13003,Mildrid,Anselmi,2.25,Architecture
13004,Alia,Earlie,2.75,Science
13005,Celisse,Wooster,3.375,Computer science
13006,Cissiee,Suk,3.125,Health
13007,Quintina,Lunsford,2,English
13008,Yvonne,Rudolph,3.375,Health
13009,Florencia,Santoro,2.875,IT
13010,Angela,Catie,2.5,Statistics
13011,Binny,Virgin,3.125,Health
13012,Kylynn,Tremayne,2.875,Statistics
13013,Ardys,Terrence,2.875,Statistics
13014,Jessy,Lanita,3.25,Art
13015,Loree,Ledah,2.75,Psychology
13016,Cordi,Wildermuth,3,Engineering
13017,Michaelina,Marlie,3.375,Architecture
13018,Arlena,Alejoa,2.75,Science
13019,Kaia,Justinn,2.375,Art
13020,Cordi,Ellord,2.375,Psychology
13021,Karena,Bethany,3,Architecture
13022,Estell,Jalbert,3,Graphic Design
13023,Kenna,Elvyn,1.875,IT
13024,Flory,Diann,1.875,Health
13025,Elvira,Dermott,2.75,History
13026,Tabbatha,Garrison,2.75,Business/Commerce
13027,Paule,Redmond,2,History
13028,Tori,Astra,2.75,Sports
13029,Tabbatha,Haymes,2.75,Psychology
13030,Lenna,Hanleigh,2.375,Statistics
13031,Stephanie,Shuler,2.125,History
13032,Lonnie,Adamsen,2.125,Psychology
13033,Charlena,Merat,3,Robotics
13034,Halette,Cecile,3,Architecture
13035,Jessamyn,Ardeha,2,Science
13036,Celisse,Cloris,3.375,History
13037,Lauryn,Johnsson,2.375,Statistics
13038,Cristine,Kosey,2.875,Health
13039,Gaylene,Nicoline,2.625,Psychology
13040,Phylis,Slifka,3.125,Psychology
13041,Estell,Lea,3.125,Business/Commerce
13042,Maud,Artie,2.125,Sports
13043,Janis,Cutlerr,2.625,Computer science
13044,Belinda,Septima,2.75,English
13045,Andeee,Colp,2.5,Statistics
13046,Shell,Lucienne,2.75,History
13047,Madelle,Ochs,2.125,Psychology
13048,Devina,Schenck,2.125,IT
13049,Kristan,Connelly,3.375,Architecture
13050,Winifred,Faria,2.625,English
13051,Jessamyn,Nickola,2.75,Health
13052,Aaren,Phaidra,2.75,Sports
13053,Natka,Vastah,2.625,Health
13054,Adriana,Schwejda,2.625,Business/Commerce
13055,Joceline,Margarete,3,Sports
13056,Gwenneth,Himelman,2.5,Music
13057,Tersina,Caitlin,2.875,Art
13058,Heida,Quinn,2.625,Psychology
13059,Rebeca,Emerson,3.25,Graphic Design
13060,Flo,Phi,2.875,Health
13061,Doralynne,Hull,2.5,History
13062,Belva,Ball,3.125,Health
13063,Lorne,Drisko,2.625,Art
13064,Lory,Firmin,3.125,English
13065,Gusella,Morrill,2.625,Robotics
13066,Yolane,Munn,2.875,Business/Commerce
13067,Rosaline,Alice,3,History
13068,Hermione,Bord,3.5,Engineering
13069,Rubie,Bobbee,2.5,Computer science
13070,Chloris,Gower,2.375,History
13071,Mara,Linskey,3.5,History
13072,Ivett,Kolnick,2.625,IT
13073,Deloria,Beebe,3.125,History
13074,Fayre,Maryanne,2.125,Art
13075,Lory,Gino,2.875,History
13076,Sherrie,Lamoree,2.5,Sports
13077,Chickie,Gabrielli,2.5,Robotics
13078,Lacie,Joni,2.375,History
13079,Pamella,Sisile,2.5,Music
13080,Hildegaard,Wyn,2.75,Business/Commerce
13081,Benita,Sisile,2.875,English
13082,Nickie,Sacken,2.125,Robotics
13083,Dorene,Tremayne,3.125,Psychology
13084,Alameda,Saree,2.625,Engineering
13085,Paule,Uund,2.875,History
13086,Tabbatha,Alfons,1.875,Robotics
13087,Jennica,August,3.125,History
13088,Clementine,Charmine,3.25,Robotics
13089,Dagmar,Truc,2.625,Graphic Design
13090,Oona,Seessel,2.5,English
13091,Alex,Brady,3,Architecture
13092,Raquela,Reidar,2.875,Psychology
13093,Leeanne,Bergman,2.875,Science
13094,Binny,Darrell,3.375,Psychology
13095,Anestassia,Posner,2.875,Engineering
13096,Raina,Bohlin,2.375,Psychology
13097,Alleen,Maxi,3.25,Statistics
13098,Janeczka,Bach,2.5,Health
13099,Alie,Anyah,2.875,Sports
13100,Tressa,Love,2.875,Health
13101,Ronna,Rustice,2.875,English
13102,Candy,Anastatius,2.625,IT
13103,Lindie,Eliathas,2.625,Sports
13104,Constance,Madelene,2.75,Architecture
13105,Tressa,Stanwood,2.625,Computer science
13106,Melanie,Belldas,3.25,Sports
13107,Ericka,Truc,2.875,Computer science
13108,Jessamyn,Riva,2.875,IT
13109,Charissa,Ehrman,3,Robotics
13110,Consuela,Alfons,3,History
13111,Kaja,Kaete,3.125,Computer science
13112,Flory,Junie,3.25,Computer science
13113,Lynde,Gordon,3,Sports
13114,Sybille,Regan,2.125,English
13115,Farrah,Jillane,2.5,Computer science
13116,Bobbi,Dosia,3,Art
13117,Sallie,Gamaliel,3.125,Business/Commerce
13118,Berta,Hortensia,1.75,Engineering
13119,Misha,Danby,3.375,Health
13120,Gavrielle,Jena,3,Business/Commerce
13121,Charissa,Teddman,2.25,Computer science
13122,Starla,Aldric,3,Robotics
13123,Jennica,Keily,3.125,Health
13124,Fredericka,Diann,2.5,English
13125,Molli,Chobot,2.5,Robotics
13126,Kaja,Smitt,3,Statistics
13127,Eadie,Joachim,3.25,Music
13128,Lizzie,Ledah,2.875,Psychology
13129,Heddie,Gusella,3.125,Psychology
13130,Gratia,Docilla,3.125,English
13131,Fawne,Goddard,2.625,Health
13132,Alleen,Dimitris,3,English
13133,Dolli,Sheng,3,Sports
13134,Flory,Decato,2.625,Art
13135,Winny,Sisile,2.625,Statistics
13136,Mellicent,Medrek,2.5,Science
13137,Gloria,Roumell,2.75,IT
13138,Linet,Rona,2.125,Architecture
13139,Jerry,Karylin,2.75,Engineering
13140,Ottilie,Cloris,2.875,Psychology
13141,Maye,Margret,2.625,Art
13142,Teddie,Chapland,2.875,Art
13143,Deane,Drus,3,Music
13144,Cissiee,Ardra,2.875,Engineering
13145,Marti,Leffen,2.625,Business/Commerce
13146,Clo,Westphal,2.625,Business/Commerce
13147,Ottilie,Iiette,3.5,Health
13148,Leontine,Marden,3.125,Sports
13149,Merry,Cottle,3,English
13150,Bobbi,Tatianas,2.625,Architecture
13151,Lorenza,Zeeba,3.375,Statistics
13152,Tierney,Raychel,3.625,Sports
13153,Audrie,Othilia,2.75,English
13154,Maud,Graig,3.375,Art
13155,Netty,Rhu,2.5,Statistics
13156,Louella,Meli,3,Sports
13157,Kaja,O'Carroll,2.875,Health
13158,Theodora,Cressida,2,Science
13159,Elie,Remmer,2.625,IT
13160,Jinny,Lanita,3,Health
13161,Sophia,Thilda,2.25,Health
13162,Yolane,Eckblad,2.75,Robotics
13163,Sara-Ann,Remmer,2.625,Science
13164,Elbertina,Anderea,2.875,Graphic Design
13165,Cyb,Gilbertson,3.625,IT
13166,Drucie,Linskey,3.25,Sports
13167,Leona,Montgomery,3.125,Computer science
13168,Feliza,Mendez,2.625,Robotics
13169,Sallie,Havens,3.25,Psychology
13170,Tera,Shanley,2.625,Statistics
13171,Sam,Rurik,2.5,IT
13172,Christian,Gordon,2.75,Engineering
13173,Raquela,Leopold,2.875,English
13174,Susette,Persse,2.25,IT
13175,Corly,Selway,2.25,Art
13176,Susan,Parette,2.75,Psychology
13177,Gale,Oriana,3.25,History
13178,Giustina,Oscar,3,Engineering
13179,Frances,Wildermuth,3.25,Sports
13180,Bill,Grosz,2.75,History
13181,Maye,Kiersten,3,Psychology
13182,Shannah,Lynn,2.875,Graphic Design
13183,Lynnea,Gualtiero,2.5,English
13184,Anallese,Janene,3.25,Graphic Design
13185,Mariele,Craggie,3.125,IT
13186,Kirbee,Truc,2.875,Psychology
13187,Emelina,Carey,3.25,Computer science
13188,Kathi,Matthew,2.875,Science
13189,Ezmeralda,Abbot,2.375,Sports
13190,Livvyy,Leonard,3.125,Psychology
13191,Amelia,Stav,2.375,Sports
13192,Karlee,Durware,1.625,Science
13193,Annaliese,Merat,2.5,Graphic Design
13194,Roberta,Payson,3.5,English
13195,Anestassia,Euridice,2.75,Health
13196,Moyna,Fry,2.375,Engineering
13197,Cyndie,Sikorski,2.25,Art
13198,Ursulina,Reneta,2.625,IT
13199,Candy,Kiyoshi,3.125,English
13200,Yolane,Gualtiero,3,Graphic Design
13201,Elora,Lissi,3.25,IT
13202,Karena,Edison,2.125,Engineering
13203,Henriette,Trinetta,2.75,Computer science
13204,Mary,McLaughlin,2.375,Sports
13205,Nataline,Norvol,3.25,Statistics
13206,Kelly,Yorick,3,Architecture
13207,Melina,Larochelle,3,Psychology
13208,Alyda,Pattin,2.25,Psychology
13209,Lindie,Schwejda,2,Health
13210,Christian,Colyer,2.875,Engineering
13211,Eadie,Colbert,3,Statistics
13212,Angela,Zina,3,Architecture
13213,Elbertina,Chem,2.875,Robotics
13214,Tani,Baylor,3.25,IT
13215,Jany,Amadas,2.875,Sports
13216,Modestia,Jeanne,3.25,Architecture
13217,Korrie,Abernon,2.875,Graphic Design
13218,Susan,Leopold,2.125,Psychology
13219,Maisey,Alwin,2.625,Robotics
13220,Hannis,Cohdwell,3,Architecture
13221,Teddie,Bryna,2.625,Science
13222,Berget,Schroth,3.25,IT
13223,Vevay,Grosz,2.75,English
13224,Cyb,Lea,3.5,Art
13225,Ginnie,Joeann,2.75,Psychology
13226,Corly,Ajay,2.625,Architecture
13227,Merrie,Donell,3.25,Music
13228,Albertina,Judye,2.625,Psychology
13229,Rani,Haymes,3,Statistics
13230,Henriette,Dunkin,2.625,Psychology
